,id,name,timestamp_unix,timestamp_obj,calorie
0,1,Orange_beson,1580000003.0,2020-01-26 00:53:23,200
1,2,Orange,1580100003.0,2020-01-27 04:40:03,300
2,3,Orange,1580200003.0,2020-01-28 08:26:43,400
3,4,Orange,1580300003.0,2020-01-29 12:13:23,500
4,5,Banana,1580300003.0,2020-01-29 12:13:23,500
5,6,Proteinpulver_25_g,1588160771.0,2020-04-29 11:46:11,90
6,7,Hafer_50_g,1588160771.0,2020-04-29 11:46:11,180
7,8,Apfelkuchen_Hälfte,1588160771.0,2020-04-29 11:46:11,50
8,9,Leinsamen_20g,1588160771.0,2020-04-29 11:46:11,106
9,10,Proteinpulver_25_g,1588171587.0,2020-04-29 14:46:27,90
10,11,Hafer_50_g,1588171587.0,2020-04-29 14:46:27,180
11,12,Leinsamen_20g,1588171587.0,2020-04-29 14:46:27,106
12,13,Apfelkuchen_Hälfte,1588171587.0,2020-04-29 14:46:27,50
